 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.47639501094818E+0000 -6.14099870109093E-0002  9.90451000019279E+0000 -6.14099870109093E-0002  9.90451000019279E+0000 -6.14099870109093E-0002  9.90451000019279E+0000
 1.74483048915863E+0000 -9.31900300919830E-0002  9.77498126447800E+0000 -9.31900300919830E-0002  9.77498126447800E+0000 -9.31900300919830E-0002  9.77498126447800E+0000
 2.01326608657837E+0000 -1.03686372588886E-0001  1.00525098262570E+0001 -1.03686372588886E-0001  1.00525098262570E+0001 -1.03686372588886E-0001  1.00525098262570E+0001
 2.41591930389404E+0000 -1.41662963152278E-0001  1.05412064212052E+0001 -1.41662963152278E-0001  1.05412064212052E+0001 -1.41662963152278E-0001  1.05412064212052E+0001
 2.95279002189636E+0000 -1.49098448417909E-0001  1.11707315129226E+0001 -1.49098448417909E-0001  1.11707315129226E+0001 -1.49098448417909E-0001  1.11707315129226E+0001
 3.48966097831726E+0000  1.86135558785152E-0001  1.97875913910204E+0001  1.86135558785152E-0001  1.97875913910204E+0001  1.86135558785152E-0001  1.97875913910204E+0001
 4.02653217315674E+0000  1.10232171271307E+0000  1.10402835174908E+0001  1.10232171271307E+0000  1.10402835174908E+0001  1.10232171271307E+0000  1.10402835174908E+0001
 4.83183860778809E+0000  2.66405963020851E-0001  3.02353022327922E+0001  2.66405963020851E-0001  3.02353022327922E+0001  2.66405963020851E-0001  3.02353022327922E+0001
 5.90558052062988E+0000 -2.35076029886360E-0001  1.40076972716593E+0001 -2.35076029886360E-0001  1.40076972716593E+0001 -2.35076029886360E-0001  1.40076972716593E+0001
 6.97932195663452E+0000 -2.47384170994589E-0001  1.47681030096627E+0001 -2.47384170994589E-0001  1.47681030096627E+0001 -2.47384170994589E-0001  1.47681030096627E+0001
 8.05306434631348E+0000  6.89061215614710E-0001  1.47646662202200E+0001  6.89061215614710E-0001  1.47646662202200E+0001  6.89061215614710E-0001  1.47646662202200E+0001
 9.66367721557617E+0000 -1.19513028185740E-0001  2.93195238069185E+0001 -1.19513028185740E-0001  2.93195238069185E+0001 -1.19513028185740E-0001  2.93195238069185E+0001
 1.18111610412597E+0001  2.37594534680929E-0001  3.86897435257366E+0001  2.37594534680929E-0001  3.86897435257366E+0001  2.37594534680929E-0001  3.86897435257366E+0001
 1.39586439132690E+0001 -1.95271050726677E-0001  2.44579738005075E+0001 -1.95271050726677E-0001  2.44579738005075E+0001 -1.95271050726677E-0001  2.44579738005075E+0001
