 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 3.40785621665418E-0003  2.61139822809812E-0001  1.11474838879702E+0002  2.61139822809812E-0001  1.11474838879702E+0002  2.61139822809812E-0001  1.11474838879702E+0002
 3.93214402720332E-0003  2.69441208083706E-0001  7.62842169751907E+0001  2.69441208083706E-0001  7.62842169751907E+0001  2.69441208083706E-0001  7.62842169751907E+0001
 4.71857609227300E-0003  2.68639567848430E-0001  2.02774524247254E+0002  2.68639567848430E-0001  2.02774524247254E+0002  2.68639567848430E-0001  2.02774524247254E+0002
 5.76715217903256E-0003  2.31781121619631E-0001  1.76279935178386E+0002  2.31781121619631E-0001  1.76279935178386E+0002  2.31781121619631E-0001  1.76279935178386E+0002
 6.81572826579213E-0003  2.29930615738189E-0001  1.54432146364289E+0002  2.29930615738189E-0001  1.54432146364289E+0002  2.29930615738189E-0001  1.54432146364289E+0002
 7.86430481821299E-0003  2.00392625516077E-0001  1.95864407554292E+0002  2.00392625516077E-0001  1.95864407554292E+0002  2.00392625516077E-0001  1.95864407554292E+0002
 9.43716801702976E-0003  1.97952565342643E-0001  1.87393191789962E+0002  1.97952565342643E-0001  1.87393191789962E+0002  1.97952565342643E-0001  1.87393191789962E+0002
 1.15343201905489E-0002  1.82740494931335E-0001  1.36655383601158E+0002  1.82740494931335E-0001  1.36655383601158E+0002  1.82740494931335E-0001  1.36655383601158E+0002
 1.36314723640680E-0002  1.75763748860869E-0001  1.11221573621263E+0002  1.75763748860869E-0001  1.11221573621263E+0002  1.75763748860869E-0001  1.11221573621263E+0002
 1.57286245375872E-0002  1.58177725658422E-0001  1.33910994133678E+0002  1.58177725658422E-0001  1.33910994133678E+0002  1.58177725658422E-0001  1.33910994133678E+0002
 1.88743527978659E-0002  1.49849821104482E-0001  1.36498763216257E+0002  1.49849821104482E-0001  1.36498763216257E+0002  1.49849821104482E-0001  1.36498763216257E+0002
 2.30686571449041E-0002  1.33601989979954E-0001  1.16478373484252E+0002  1.33601989979954E-0001  1.16478373484252E+0002  1.33601989979954E-0001  1.16478373484252E+0002
 2.72629614919424E-0002  1.23202245661637E-0001  1.43092208049049E+0002  1.23202245661637E-0001  1.43092208049049E+0002  1.23202245661637E-0001  1.43092208049049E+0002
 3.14572639763355E-0002  1.14164968941085E-0001  1.32958014388945E+0002  1.14164968941085E-0001  1.32958014388945E+0002  1.14164968941085E-0001  1.32958014388945E+0002
 3.77487204968929E-0002  1.00691455309429E-0001  1.70760184153277E+0002  1.00691455309429E-0001  1.70760184153277E+0002  1.00691455309429E-0001  1.70760184153277E+0002
 4.61373291909695E-0002  8.87005263028605E-0002  1.77280768405251E+0002  8.87005263028605E-0002  1.77280768405251E+0002  8.87005263028605E-0002  1.77280768405251E+0002
 5.45259378850460E-0002  8.02231375557425E-0002  1.50683545251693E+0002  8.02231375557425E-0002  1.50683545251693E+0002  8.02231375557425E-0002  1.50683545251693E+0002
 6.29145503044128E-0002  7.75320089916346E-0002  1.71016777573514E+0002  7.75320089916346E-0002  1.71016777573514E+0002  7.75320089916346E-0002  1.71016777573514E+0002
 7.54974558949471E-0002  6.51844148129238E-0002  1.78024242499366E+0002  6.51844148129238E-0002  1.78024242499366E+0002  6.51844148129238E-0002  1.78024242499366E+0002
 9.22746732831001E-0002  5.56378551063700E-0002  2.12002480674021E+0002  5.56378551063700E-0002  2.12002480674021E+0002  5.56378551063700E-0002  2.12002480674021E+0002
 1.09051890671253E-0001  4.66459359931902E-0002  2.20320713713118E+0002  4.66459359931902E-0002  2.20320713713118E+0002  4.66459359931902E-0002  2.20320713713118E+0002
 1.25829115509987E-0001  4.15559476917867E-0002  2.61743384422043E+0002  4.15559476917867E-0002  2.61743384422043E+0002  4.15559476917867E-0002  2.61743384422043E+0002
 1.50994941592216E-0001  3.92075928648037E-0002  3.69037315647788E+0002  3.92075928648037E-0002  3.69037315647788E+0002  3.92075928648037E-0002  3.69037315647788E+0002
 1.84549361467361E-0001  3.09699951932891E-0002  4.26856299076082E+0002  3.09699951932891E-0002  4.26856299076082E+0002  3.09699951932891E-0002  4.26856299076082E+0002
 2.18103796243668E-0001  2.60667980934235E-0002  4.79175022272054E+0002  2.60667980934235E-0002  4.79175022272054E+0002  2.60667980934235E-0002  4.79175022272054E+0002
 2.51658231019974E-0001  2.12451542641688E-0002  5.66289421042687E+0002  2.12451542641688E-0002  5.66289421042687E+0002  2.12451542641688E-0002  5.66289421042687E+0002
 3.01989883184433E-0001  1.81421133698100E-0002  6.13190001230256E+0002  1.81421133698100E-0002  6.13190001230256E+0002  1.81421133698100E-0002  6.13190001230256E+0002
 3.69098752737045E-0001  1.32785420392383E-0002  8.91915990686642E+0002  1.32785420392383E-0002  8.91915990686642E+0002  1.32785420392383E-0002  8.91915990686642E+0002
 4.36207622289658E-0001  1.19707154518057E-0002  9.89782190238014E+0002  1.19707154518057E-0002  9.89782190238014E+0002  1.19707154518057E-0002  9.89782190238014E+0002
 5.03316462039948E-0001  9.02649859057774E-0003  9.67334823019139E+0002  9.02649859057774E-0003  9.67334823019139E+0002  9.02649859057774E-0003  9.67334823019139E+0002
 6.03979766368866E-0001  4.97880834168961E-0003  1.97141478157466E+0003  4.97880834168961E-0003  1.97141478157466E+0003  4.97880834168961E-0003  1.97141478157466E+0003
 7.38197505474091E-0001  1.61066061590168E-0005  2.46084401781247E+0003  1.61066061590168E-0005  2.46084401781247E+0003  1.61066061590168E-0005  2.46084401781247E+0003
