 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 6.81572826579213E-0003  2.68194319129738E+0000  2.76403805445654E+0001  2.68194319129738E+0000  2.76403805445654E+0001  2.68194319129738E+0000  2.76403805445654E+0001
 7.86430481821299E-0003  2.66739558558761E+0000  2.39075154302678E+0001  2.66739558558761E+0000  2.39075154302678E+0001  2.66739558558761E+0000  2.39075154302678E+0001
 9.43716801702976E-0003  2.57715717734244E+0000  2.85711003912298E+0001  2.57715717734244E+0000  2.85711003912298E+0001  2.57715717734244E+0000  2.85711003912298E+0001
 1.15343201905489E-0002  2.56831433661018E+0000  4.26246015545082E+0001  2.56831433661018E+0000  4.26246015545082E+0001  2.56831433661018E+0000  4.26246015545082E+0001
 1.36314723640680E-0002  2.56414013131981E+0000  3.09241612829974E+0001  2.56414013131981E+0000  3.09241612829974E+0001  2.56414013131981E+0000  3.09241612829974E+0001
 1.57286245375872E-0002  2.51922356677363E+0000  4.04252441948739E+0001  2.51922356677363E+0000  4.04252441948739E+0001  2.51922356677363E+0000  4.04252441948739E+0001
 1.88743527978659E-0002  2.48650103906147E+0000  4.80650815205641E+0001  2.48650103906147E+0000  4.80650815205641E+0001  2.48650103906147E+0000  4.80650815205641E+0001
 2.30686571449041E-0002  2.46517577149297E+0000  3.22709516881288E+0001  2.46517577149297E+0000  3.22709516881288E+0001  2.46517577149297E+0000  3.22709516881288E+0001
 2.72629614919424E-0002  2.42471328352979E+0000  4.93501153952429E+0001  2.42471328352979E+0000  4.93501153952429E+0001  2.42471328352979E+0000  4.93501153952429E+0001
 3.14572639763355E-0002  2.46578272735473E+0000  4.49948545492435E+0001  2.46578272735473E+0000  4.49948545492435E+0001  2.46578272735473E+0000  4.49948545492435E+0001
 3.77487204968929E-0002  2.40580863811956E+0000  4.11265215022885E+0001  2.40580863811956E+0000  4.11265215022885E+0001  2.40580863811956E+0000  4.11265215022885E+0001
 4.61373291909695E-0002  2.37715536176245E+0000  4.71793783603601E+0001  2.37715536176245E+0000  4.71793783603601E+0001  2.37715536176245E+0000  4.71793783603601E+0001
 5.45259378850460E-0002  2.32717057521252E+0000  3.91571101318104E+0001  2.32717057521252E+0000  3.91571101318104E+0001  2.32717057521252E+0000  3.91571101318104E+0001
 6.29145503044128E-0002  2.29058377741185E+0000  3.86356404045345E+0001  2.29058377741185E+0000  3.86356404045345E+0001  2.29058377741185E+0000  3.86356404045345E+0001
 7.54974558949471E-0002  2.25481961325020E+0000  4.02471393633417E+0001  2.25481961325020E+0000  4.02471393633417E+0001  2.25481961325020E+0000  4.02471393633417E+0001
 9.22746732831001E-0002  2.20970497850118E+0000  6.09697885635987E+0001  2.20970497850118E+0000  6.09697885635987E+0001  2.20970497850118E+0000  6.09697885635987E+0001
 1.09051890671253E-0001  2.16972976806676E+0000  4.19589220832904E+0001  2.16972976806676E+0000  4.19589220832904E+0001  2.16972976806676E+0000  4.19589220832904E+0001
 1.25829115509987E-0001  2.12613909822340E+0000  4.31094268632666E+0001  2.12613909822340E+0000  4.31094268632666E+0001  2.12613909822340E+0000  4.31094268632666E+0001
 1.50994941592216E-0001  2.05010388228732E+0000  3.98620872771750E+0001  2.05010388228732E+0000  3.98620872771750E+0001  2.05010388228732E+0000  3.98620872771750E+0001
 1.84549361467361E-0001  1.96784544210407E+0000  3.23435859011416E+0001  1.96784544210407E+0000  3.23435859011416E+0001  1.96784544210407E+0000  3.23435859011416E+0001
 2.18103796243668E-0001  1.88978573323910E+0000  2.94391108555033E+0001  1.88978573323910E+0000  2.94391108555033E+0001  1.88978573323910E+0000  2.94391108555033E+0001
 2.51658231019974E-0001  1.79147227941426E+0000  2.69751054489175E+0001  1.79147227941426E+0000  2.69751054489175E+0001  1.79147227941426E+0000  2.69751054489175E+0001
 3.01989883184433E-0001  1.67410303907542E+0000  2.48808695955242E+0001  1.67410303907542E+0000  2.48808695955242E+0001  1.67410303907542E+0000  2.48808695955242E+0001
 3.69098752737045E-0001  1.50715480386093E+0000  2.09085553350010E+0001  1.50715480386093E+0000  2.09085553350010E+0001  1.50715480386093E+0000  2.09085553350010E+0001
 4.36207622289658E-0001  1.35131985535700E+0000  1.71882612766815E+0001  1.35131985535700E+0000  1.71882612766815E+0001  1.35131985535700E+0000  1.71882612766815E+0001
 5.03316462039948E-0001  1.18692861779833E+0000  1.47508334926327E+0001  1.18692861779833E+0000  1.47508334926327E+0001  1.18692861779833E+0000  1.47508334926327E+0001
 6.03979766368866E-0001  9.55266750671777E-0001  1.18295426841277E+0001  9.55266750671777E-0001  1.18295426841277E+0001  9.55266750671777E-0001  1.18295426841277E+0001
 7.38197505474091E-0001  6.39109843000744E-0001  9.73971693079592E+0000  6.39109843000744E-0001  9.73971693079592E+0000  6.39109843000744E-0001  9.73971693079592E+0000
 8.72415244579315E-0001  3.80718953779534E-0001  8.40944222448262E+0000  3.80718953779534E-0001  8.40944222448262E+0000  3.80718953779534E-0001  8.40944222448262E+0000
 1.00663304328918E+0000  3.33582952658047E-0001  8.29569920827655E+0000  3.33582952658047E-0001  8.29569920827655E+0000  3.33582952658047E-0001  8.29569920827655E+0000
 1.20795965194702E+0000  3.16403497518030E-0001  8.28292951528220E+0000  3.16403497518030E-0001  8.28292951528220E+0000  3.16403497518030E-0001  8.28292951528220E+0000
 1.47639501094818E+0000  2.94458153782311E-0001  8.32432063851429E+0000  2.94458153782311E-0001  8.32432063851429E+0000  2.94458153782311E-0001  8.32432063851429E+0000
 1.74483048915863E+0000  2.73869168732447E-0001  8.36516725608648E+0000  2.73869168732447E-0001  8.36516725608648E+0000  2.73869168732447E-0001  8.36516725608648E+0000
 2.01326608657837E+0000  2.54383097510348E-0001  8.39898655979284E+0000  2.54383097510348E-0001  8.39898655979284E+0000  2.54383097510348E-0001  8.39898655979284E+0000
 2.41591930389404E+0000  2.28424507683785E-0001  8.48789623241184E+0000  2.28424507683785E-0001  8.48789623241184E+0000  2.28424507683785E-0001  8.48789623241184E+0000
 2.95279002189636E+0000  1.95376414723325E-0001  8.59954496259535E+0000  1.95376414723325E-0001  8.59954496259535E+0000  1.95376414723325E-0001  8.59954496259535E+0000
 3.48966097831726E+0000  5.76475255896397E-0001  1.14740682085330E+0001  5.76475255896397E-0001  1.14740682085330E+0001  5.76475255896397E-0001  1.14740682085330E+0001
 4.02653217315674E+0000  1.66568147916122E+0000  3.48174217885557E+0001  1.66568147916122E+0000  3.48174217885557E+0001  1.66568147916122E+0000  3.48174217885557E+0001
 4.83183860778809E+0000  6.83832691545340E-0001  1.32905189262232E+0001  6.83832691545340E-0001  1.32905189262232E+0001  6.83832691545340E-0001  1.32905189262232E+0001
 5.90558052062988E+0000  8.88996223362704E-0002  8.69813529158932E+0000  8.88996223362704E-0002  8.69813529158932E+0000  8.88996223362704E-0002  8.69813529158932E+0000
 6.97932195663452E+0000  6.32726637342565E-0002  8.71887770837387E+0000  6.32726637342565E-0002  8.71887770837387E+0000  6.32726637342565E-0002  8.71887770837387E+0000
